,sentence,target
353,"$BRK.B $SPY  All time high tomorrow? 150k on the A shares, Dec 13, 2007.",Price Action
354,$SPY wouldn't be surprised to see a green close,Price Action
355,@Vegastrader66 Looks like good entry for $QIHU here.,Signal
356,Tesco closes in on new chairman with Dixons Carphone's John Allan in the frame,Appointment
357,"Berkshire discloses unit's ties to Iran, opens probe",Company Communication
358,$INO back in this am small post,Price Action
359,"@harmongreg: $BBRY wkly, Inverse Head and Shoulders forming, triggers over 18.50, PO at least 30.80, watching http://stks.co/iPVJ",Technical Analysis
360,$LINE biggies must be loading up here at lows..,Price Action
361,$GS is looking weak while this market is moving higher not a good sign. Unless $gs can get above 157. early short below 154.00 today.,Price Action
362,Key level to watch in $FB for today is 25.53-- watching to see if it can hold as support http://stks.co/bOH4,Technical Analysis
363,Berkshire Hathaway names Kara Raiguel to lead General Re unit,Appointment
364,"$YNDX and the price of some stocks was 2 times lower then annual earnings, I could not resist, I  was buying when everyone was selling",Price Action
365,"Red Daily Triangle on $SHOR,...Scaling Up on Long Position http://stks.co/r82S",Technical Analysis
366,@Megaas2000 $AAPL McDonalds had a big GROWING success for years with the same BigMac and Apple update and improbe Iphone and Ipad,Reputation
367,"European stocks hover near 3-week low, Dialog and BHP slump",Price Action
368,EA Launches Origin Online Game Distribution for Mac http://stks.co/aKTU via MacRumors $EA,Strategy
369,Hargreaves Lansdown bucks weak markets to see assets rise 2.6 percent,Market
370,$ETN UPGRADE today by MS to overweight.  Excellent company and leadership,Coverage
371,"$AAPL double bottom could be in, keep in mind",Price Action
372,@Joerazorback This time I think $AAPL will miss again. Generally speaking market is near top when everyone thinks that market goes only up,Financial
373,"$amrn Full bull call spread ranging July to Jan 15. Lets see what this baby does,",Options
374,$FB Dax says bye bye 2013 - finished a great yr w 28% plus!,Price Action
375,@CH_Roark: $UNXL I like this Ascending Triangle on the 30-minute chart. Breakout coming Monday! http://stks.co/aT3GLooks promising.,Technical Analysis
376,"@StockTwits: @Kbkiwi: $TSLA Tesla Model S sales exceed target, profitability guidance amended upward: http://stks.co/jQ0w""""",Sales
377,MillerCoors Delivers 2.9% Underlying Net Income Growth for 2014,Fundamentals
378,Australia clears AB Inbev's $100 billion SABMiller buyout plan,Strategy
379,"Long Position on $GOL,...Updating http://stks.co/fdmm",Price Action
380,$SMH got a sell signal on 6/4 and needs to take out 39.28 to go higher otherwise headed lower than 37.60 gap below at 35.38,Signal
381,$OSUR up 33% since 6/25 buy signal. resistance 5.33 - expect 1. pullback 2nd half of day or 2. break abov 5.33 & continue rally for 4-5 days,Signal
382,$SPY Could the pride of social media be gettin ready to fall?  $FB - chart rolling over?,Technical Analysis
383,$NFLX +3% of the lows,Price Action
384,$SBUX getting sold here.,Price Action
385,$PG Ackman making the big added efficiency argument. betting on operational imporvement in a huge conglomerate can go either way imo.,Strategy
386,$RIMM $spx $nya $compq $djia all going down,Price Action
387,"@IfHeDiesHeDies: @Bullhorn334: $ZNGA shorts are getting nervous""""",Price Action
388,$ocn has the stuff. Will be looking to add shares if we get a new high breakout.,Price Action
389,$BBRY hearing rumours of a major joint venture announcement.,Rumors
390,Goodwin not to face Scottish prosecution over RBS,Legal
391,$AAPL Good time to buy. Will the run come before earnings or after?,Price Action
392,Royal Mail turnaround proving expensive in tough UK market,Market
393,"$QIHU totally missed this one, was about to jump in on that 60 break test but didn't, congrats shorts",Price Action
394,$UVXY Put the chum out there at key support then next level down - careful,Price Action
395,Entering long Lockheed Martin $LMT at Thursday's open. http://stks.co/eXtA,Price Action
396,@catskillfishing  Note the monthly chart of $GDX & how it recaptured support. $GLD possible double bottom set up. http://stks.co/aw6z,Technical Analysis
397,"Key price to watch in $NFLX, off the previous double top reject, 218.23 http://stks.co/sIYn",Technical Analysis
398,$SPY Tomorrow party time for the Bears!! $GOOG and $MSFT -5.5%,Price Action
399,"$SLV -4.44% at 18 now AWFUL, down from 42.50",Price Action
400,$SPY c'mon bulls buy DIPS!,Price Action
401,@gakrum nice chart shows distinctive down channel not a dip.. where do you see the bottom? $SPY ..$150? ..$130?,Technical Analysis
402,$DXCM - Making higher highs & higher lows as it consolidates over past several weeks. 26.70 was all time high (2006).,Price Action
403,"#Apple breaks major support, here are some levels to watch - http://stks.co/jRmW $AAPL $QQQ",Price Action
404,$CRUS Upgraded to a buy by Alpha Street Research,Coverage
405,"$NFLX small pos, short 180 wkly puts.",Options
406,Whitbread buys 49% stake in Pure food chain,M&A
407,$TSLA I see more downside in next two weeks be careful -20 dollars drop potential vs +10 up moved,Price Action
408,$FB Big Money Is Pouring Into Facebook From All Directions;http://stks.co/sOwG,Price Action
409,$LULU #Outlook #Q1 2013 #lost revenue in the range of $12 million to $17 million -not good,Sales
410,@Dojiknows th SP and the potential of QNX BES10 and BBM  cross platform will bring good news in time $bbry,Strategy
411,$NUGT longer term bullish,Price Action
412,"2nd raise this year.  ""@BVHealthcare: $QCOR Questcor Increases Quarterly Cash Dividend 20 Percent.. http://stks.co/goan""",Dividend Policy
413,$PAY 2nd time test of the 21.20-30 b/o zone.  Still not breaking out.  Moved my stop up to 20.80.,Price Action
414,$SPY  still wants higher I think.,Price Action
415,$BBRY lets see 14+ today,Price Action
416,$DCTH Near HOD,Price Action
417,$MSFT SQL Server revenue grew double-digit with SQL Server Premium revenue growing over 30% http://stks.co/ir2F,Sales
418,$GTE LONG at 7.44,Price Action
419,$DARA breaking out,Price Action
420,"Irish Said Chasing Standard Chartered, RBS as Brexit Vote Nears",Strategy
421,$TSLA gyrating @ S1 above gap. keeping an eye on S2 http://stks.co/jQfB,Price Action
422,"$CNP Sell Short Position on CNP,...Closed for Profit $ 59,367.00 (7.75%) http://stks.co/ghjc",Price Action
423,$BBRY Actually lost .03c per share if U incl VZ as no debt and 3.1 in Cash.,Financial
424,$BBRY nice bounce,Price Action
425,"$DNN picked some up, like this going into 2014",Price Action
426,Royal Mail share price rallies amid positive broker comments,Price Action
427,$NUGT Gold above 1400...wow,Price Action
428,$BBRY Ready for Take OFF!,Price Action
429,$VOLC THIS STOCK HAS A VERY VERY VERY VERY VERY HIGH PROBABILITY OF RALLYING TOMORROW AND/OR EARLY NEXT WEEK,Price Action
430,"$YOKU high volume blast off Friday, goes higher  http://stks.co/qSaL",Price Action
431,$aapl key is to breakout above 460 on solid volume or else it's a no trade for now,Technical Analysis
432,$spy bumping its head on declining daily 8ma as overhead resistance. Then the big brother 50ma just above that.,Price Action
433,"Long Position on $IP,....Scaling UP http://stks.co/sIln",Price Action
434,$FB churning in high volume @ IPO price. Lot's of sellers trying to get out. Might take a while here to consolidate before moving higher.,Price Action
435,The Boeing Company (NYSE:BA) Bearish Trader bets $550K that Stock Will Sell Off 9.79% by July Expiry $BA http://stks.co/tCSE,Price Action
436,"$TXRH reports Q1 EPS of $0.37 versus the estimated $0.35, beating by $0.02. EPS were Up 19% from the same quarter last year.",Financial
437,"$AAPL is now beaten down, hated, etc. / hhhmm opposite of 700> what happens next?",Price Action
438,@asdfLLC. Nice pop today. Told ya we would be green haha. Funny you bring that up. I'm actually working on a story about $NOK at the moment,Price Action
439,$AMCN pushing highs,Price Action
440,@pierrules: $SIRI LONG!!,Price Action
441,$FB SHIFTING ON THE 15 MINUTE HERE - SUSPECT TO TAKE HIGHS,Price Action
442,$AMRN You can many times find top and bottoms when shorts start rejoicing or bulls start rejoicing. Currently it is the shorts rejoicing,Price Action
443,"$CNDO 21% short float, shorts likely to take profits into close",Price Action
444,$RNN staying above the open a very good sign!!!,Price Action
445,Watch these bancos.they're holding up relatively well compared to the broad market $XLF $BAC $GS $C <--large C buying in $BAC in backburner,Price Action
446,InterContinental Hotels first-quarter global room revenue lags estimates,Sales
447,$CAT is hangin on my a thread. 1click away from a cliff drop.. Needs follow through (or snap-back on the VIX),Price Action
448,$PRGN A bottom right here?,Price Action
449,"$SPY Less than 0.2% down and people are calling it bearish. Some heading for exits already. Maybe 1% down will be ""the crash""? Disturbing!",Price Action
450,"$P bull flag on the daily, earnings on the table tomorrow +/-12 move.Will straddle this one into earnings..lots of vol guaranteed here",Price Action
451,$AAPL Action into the close indicates that $AAPL probably hit a near term high.  Momentum slowing after a huge run.,Price Action
452,$V A potential bearish shark pattern if point B $226 to be taken out. http://stks.co/i0GGH,Technical Analysis
453,$AMZN Trailing 12 months operating cash flow rose 48% to $4.98 billion & free cash flow decreased 63% to $388 million http://stks.co/c06zG,Financial
454,"$RNN day traders flushed out, it should start going up slowly from now on .",Price Action
455,@chessNwine: $IWM 30-Minute Chart. Small caps threatening descending triangle breakdown under $110.20.  http://stks.co/r0KKm,Technical Analysis
456,$YELP This goes green and so many shorts are toast!,Price Action
457,RT @tomhend777 $MU needs to hold here -Broken for now. Needs big flush. Still not technically oversold so now big bounce yet,Technical Analysis
458,$AMRN Got sell signal 7/1/14 still in force with target below 1.50,Signal
459,"$SLV POS, been saying it for 2 years. Going lower. Forget about it or go short.",Price Action
460,New recommendation from Carl Kirst of BMO Capital Markets for $WMB is BUY.Price target is $62:http://stks.co/t0S0r,Coverage
461,$DNKN $KKD $DPZ $LOCO Inside week buy triggers. http://stks.co/h0vV8  http://stks.co/r0ebN,Technical Analysis
462,"$RIG whos ever pushing this is crazy, get ready for suspended dividend (turning into growth stock) blow out earnings, and major buyback, lol",Dividend Policy
463,$AAPL Nice RSI 33 bounce at 9:58,Technical Analysis
464,"$AXDX I got bored, and took my proprietary profit exit. I didn't like the option liquidity and lousy spreads.",Price Action
465,$NFLX Easy pop to 500$ by end of feb.. Then steady as she goes for 600 into second earnings report..800$ year end no matter what,Price Action
466,Aspen to Buy Anaesthetics From AstraZeneca for $520 Million,M&A
467,$IWM relative weakness is pretty apparent but the short boat is getting full on this one. I prefer the boat closer to empty.,Price Action
468,@saltwaternurse $INO can test 10 again in next few days. time to take some profits here. or hedge with puts.,Price Action
469,"@Stockoptionexpert: $MAT - 6%, big trader added 10000 April put contracts 3 days ago  http://stks.co/c1Ols",Options
470,$FTI Breakout today after reporting earnings last night,Technical Analysis
471,"$KO had missed earnings expectations for the last two quarters, so today’s strong results came as a major surprise http://stks.co/d0RHF",Financial
472,$COH Gaining Momentum! Nice buy signals here! Long Over $35.92 http://stks.co/t0tAh,Signal
473,London Stock Exchange â€“ Deutsche Boerse merger under threat from Brexit,M&A
474,$BABA may take a few days wks months watch what happened to $FB $TWTR after they IPO. mrkt needs to washout. to hunt well need 2 wait stalk.,Price Action
475,$RAD All my charts are flashing oversold.,Price Action
476,Sainsbury CFO Rogers to Replace Home Retail CEO Walden,Appointment
477,BP joins forces with Det Norske in Norway,Strategy
478,$RSOL bought 3500 shares today!,Price Action
479,$ARIA This is the reason why shorts don't show up...long steady small climbs. The best way to accrue value. IMO,Price Action
480,$CAMT Looks like might break down. I'm out,Price Action
481,BRIEF-Legal & General's retirement business books 4 billion stg H1 sales,Sales
482,$ATHN Seems like a good short setup. Stop above the 50 day. No position.,Price Action
483,$KIOR My god. Market getting crushed today. Gotta hold if anything g should recover some tomorrow I imagine.,Market
484,$AAPL  downgrade is bias. This stock is a buy.,Price Action
485,LinkedIn Revenue Up Nearly 50% http://stks.co/g1F4T  $LNKD,Financial
486,Johnson Matthey revs up on clean air drive,Strategy
487,$PLUG bear raid,Price Action
488,$GPRO down 25% since Tue morning.,Price Action
489,$ROST Ross Stores Upgraded to Outperform at RBC Capital Markets http://stks.co/j0Q9t,Coverage
490,$ARIA Bounce Player! Long above $6.17 http://stks.co/q0WfF,Price Action
491,"$TSLA looking good..i'd love to see a basing action here, letting the RSI take a breather. http://stks.co/g1T7c",Technical Analysis
492,$RAD I would consider this opportunity to add my position because the company is on the right track they are still improving sales...,Sales
493,$GTAT Will re-enter short on bounce...,Price Action
494,$TROW Ascending triangle gives a bullish bias to this chart. Breakout above 84 will be positive http://stks.co/g0ls5,Technical Analysis
495,$AEGN MACD and ADX are crossing over the signal lines! Long Setup http://stks.co/qzzx,Signal
496,what #stocks large players are selling http://stks.co/t0Vel $CROX $GOGO $INO,Price Action
497,$RNN More bleeding Monday.,Price Action
498,$PLUG Closed short position. Small gain. Not interested in options expiring worthless,Price Action
499,$UBNT still having some trouble at the resistance line. Should resolve soon.@cheri1 @strattonite   http://stks.co/c0sU4,Price Action
500,$TWTR The best scenario going forward is this stock slowly falling everyday....Which is quite probable...,Price Action
501,$MXWL Oh snap. Just went long again. LT,Price Action
502,$HRL ready to pop! http://stks.co/s0Ny4,Price Action
503,RBS will reportedly appoint Howard Davies as its next chairman,Appointment
504,Just stumbled upon this amazing chart - $OFIX - holy guac. SUPER overbought. http://stks.co/e0PX1,Price Action
505,$FB i guess they want it down look at the those sell orders,Price Action
506,@ACInvestorBlog: $SPY eod run :),Price Action
507,Phew! So far good $BBRY did not break 10.40 coz I was told that is key support level.,Price Action
508,$Oil slid to a four-year low after #OPEC kept its oil production unchanged  http://stks.co/a1IX4 $USO $WTI $Brent,Price Action
509,$CDTI bounce here on support or H&S setup this area is very important for bulls to not lose http://stks.co/c0mf3,Price Action
510,$LNKD Daily Phase 2 retest - Price experiencing early rejection. Can it retest? http://stks.co/t04xX,Price Action
511,3-star analyst Joe Wittine from Longbow Research reiterated a HOLD rating on $NTAP.,Coverage
512,$GOOG Testing the 200 day after some consolidation http://stks.co/h0cPJ,Technical Analysis
513,Walter Investment Management Corp Receives a Sell from Compass Point $WAC http://stks.co/c1IvX,Coverage
514,"So as of today's close (8/15/14), I'm long $TSLA $AMTD $TWTR $FB $AAPL $CELG - all on a longer-term, technical swing long basis.",Technical Analysis
515,"$HAL If bulls lucky enuff to get an upside gap fill, better take it. Wouldn't chase it here. http://stks.co/r12Us",Price Action
516,@1nvestor: $SODA has a 42.71% Float Short. LoL  http://stks.co/e0DfP,Price Action
517,"@BrooklynBandit: $SIMO Basing nice. A close over 24.18 is bullish $QQQ $SPY $STUDY watch for a close near HOD. Currently up +3%"" up +5%",Price Action
518,$KEP breaking out when the market pulls back  http://stks.co/r0cet,Price Action
519,$VIPS similar pattern like beginning of May. Did u sell? Same now..will go up much higher after this drop.,Price Action
520,"@Binkster69 Not that. it's just ER's lol. But looking at the correlation of $ARIA and foreign price charts, they are all poised to breakout.",Technical Analysis
521,$GDX $GDXJ $JNUG - strong move today for the Junior Gold Miners - keep an EYE out for a gap fill -,Price Action
522,@BULLYA @pollux654321 My 50 $KORS 80 Calls are going to b a Blessing for my Daughters tuition!,Price Action
523,"Goldman Sachs, Barclays, HSBC downplay Brexit threat",Risks
524,$FB they are hitting  everything in sight.short it. but twtr,Price Action
525,$TSLA You have to love these types of articles. SS interest rose on 12/15 on day before we hit our lows. http://stks.co/c1QKr,Price Action
526,"$KNDI Let's see some higher highs and higher lows rest of the day , slow and steady",Price Action
527,"$IFF technical alerts: Stochastic Sell Signal, 200 DMA Support, and 50 DMA Support  http://stks.co/p12QY",Signal
528,"$INO Up, up, and away!",Price Action
529,$BOBE down $2.84  premarket,Price Action
530,$CHRM Loooooongggggg base,Price Action
531,$NQ got hit hard lower this AM --> looks like it has found support a 18.89 http://stks.co/s052z,Price Action
532,$RSH - looking for first profitable quarter in 3 years!!!  ;).  LONG & STRONG,Price Action
533,$GS sells flat..I am out..,Price Action
534,Asahi could be about to snap up more of SABMiller's beers ahead of AB InBev sale,Strategy
535,Synergy Pharma Soars 67% Today On Positive Phase 3 Results $SGYP http://stks.co/j2awg,Price Action
536,NaturalGas Settles At 3-year Low $DBO $BNO  http://stks.co/d27qX,Price Action
537,$WX Decent pull back . .,Price Action
538,"09:01 AM      $AKS  DJ AK Steel Revenue Rises 36% on Auto Sector Demand, Acquisition",Financial
539,$BBRY both 1m/6m trends turn bullish today with a resistance level at $11.31. http://stks.co/j1qt6,Price Action
540,LSE-Deutsche BÃ¶rse dealmakers wrong to ignore Brexit risk,Risks
541,Long $GPRO for a brealout trade,Price Action
542,$UGAZ Will this cold put a dent in the massive horizontal rig production. Who knows  http://stks.co/p1V6P,Risks
543,$ISRG - ISRG Short - http://stks.co/f1vVU http://stks.co/c1qrm,Price Action
544,"$HPQ Says Breakup Will Cost Billions, but Sees Savings Too http://stks.co/p27hZ",Risks
545,@Renatta @Fr0van @kjepeneter @RPTL  Strong close 4 $PLNR  coming,Price Action
546,Buyback not trending right ( $CPIX spending more as shares pricier). Hopefully will pull back w 6.87 Q2 closing VWAP,Price Action
547,"$GILD Sandbagged the guidance so the can use that last 3 billion up.  CC was cautiously optimistic, wait til Next ER for confirmation",Financial
548,End Of Day Scan: Stochastic Overbought $JDST $FREE $BLRX $LPG $AFSI $DVAX $HDGE $AHT $ALR $ASMB  www.dailystockplays.com,Technical Analysis
549,$YANG Double bottom 5.2,Technical Analysis
550,$HYG Potential continuation Uptrend on a 60'-15'-4' charts http://stks.co/t1Qp6,Technical Analysis
551,$CYTX looks like an ascending channel on Finfiz http://stks.co/f26r4,Technical Analysis
552,$AAPL Now I'm glad I got stopped out of my $113 weeklies when I did. Will re-enter next Monday for the #earnings run-up.,Price Action
553,HSBC Hit by Fresh Details of Tax Evasion Claims,Legal
554,"$WFM Bought a little yesterday, hoping for an earnings pop.",Price Action
555,EUR/USD Finding Support Near 1.10 Level $ERO $UUP $UDN $FXE  http://stks.co/b29eU,Price Action
556,$IBIO  up 10% in premarket ready for lift off,Price Action
557,Tesco sales recover as focus returns to core business,Sales
558,"RECAP: $MSFT rumor this morning had them spinning off XBOX unit, stock grinds up all day to close on highs",Rumors
559,"$AAPL AAPL finally breaking under the 49 M.A.. With no buybacks this week, look for AAPL to test the 120 support area.",Price Action
560,"$DGI technical alerts: Gilligan's Island Buy Setup, Stochastic Buy Signal, Lizard Bullish, Hammer Candlestick, Wid... http://stks.co/c29Nu",Signal
561,$LUV Continues to consolidate above previous break out area...,Price Action
562,$REN bottoming out again.. Good time to buy,Price Action
563,$GOOGL Hit With Lawsuit from Russian Search Engine $YNDX http://stks.co/b1kD8,Legal
564,$AAPL at resistance right here...sold my shares...will buy back if it dips or if it goes in the 128 gap zone,Price Action
565,$GALE Breakout Coming Soon!,Technical Analysis
566,"$RUSS Don't catch falling knives, but I think an entry is coming soon on this",Price Action
567,$AAPL $131 rally mode,Price Action
568,$MPWR CEO sells 450k april 15th..meh,Insider Activity
569,"Homebuilders - $RYL breaking below support, watch this one.  $SPY",Price Action
570,$AAPL afternoon selloff as usual will be brutal. get ready to lose a ton of money.,Price Action
571,$AMZN Going thru the roof needs a sell!,Price Action
572,"$ESI on lows, down $1.50 to $2.50 BK a real possibility",Price Action
573,Short on $ATVI from 24.55.,Price Action
574,Johnson Matthey profit falls but dividend rises,Dividend Policy
575,End Of Day Scan: Bullish MA  Crossovers $BBVA $PDS $NTLS $NGL $SBRCY $FGL $MTNOY $TTT  www.dailystockplays.com,Technical Analysis
576,"@louiebeene vwap is 1.63, held the trend line. Should be on a LOT of radars. $NAVB",Price Action
577,$NEON oversold,Price Action
578,"$SSYS just re-tested lows . Should rise steadily from here. It hit $81 just 21 trading days ago, and $130.86 on Sept 18. It'll do it again.",Price Action
579,"$KNDI Break that HOD on volume, and we have a nice consolidation completed for another run.",Price Action
580,$INVE : SEE YA ABOVE $8,Price Action
581,$BXS: BancorpSouth Announces Extension of Merger Agreements with ... http://stks.co/s2PDF,M&A
582,"Maglan Capital Up +20.84% In February, Long Fairpoint  http://stks.co/s1eQc $$ $FRP",Price Action
583,Exact (EXAS) Flagged As Strong On High Volume $EXAS http://stks.co/r26Ra,Price Action
584,$BIOC RSI extremely in long's favor looking at BIOC historically.,Technical Analysis
585,$TNH Looks like an explosive setup if it can break the 20EMA and 105 level http://stks.co/b1SVH,Price Action
586,$VMW  Got a nice push today following small sweepers of May C this morning,Price Action
587,$DDD 3D Systems (DDD) Stock Receives Ratings Downgrade Today at Jefferies http://stks.co/g1cqd,Coverage
588,$AAPL Dips being bought up real quick. Higher lows fo sho,Price Action
589,Long $X 24.62,Price Action
590,$NKE gapping up to all time highs http://stks.co/q1jAu #tradeideas http://stks.co/r1j6c,Price Action
591,@Intuitiv $CLNE gasoline prices spike in California. http://stks.co/t1bOi,Price Action
592,"Are ARM Holdings plc, Domino's Pizza Group plc and ASOS plc 3 must-have growth stocks?",Rumors
593,ESPN Files Lawsuit Against Verizon - http://stks.co/i2Cj1 $VZ,Legal
594,Priceline's stock jumps to new high for the year after Barclays upgrade,Coverage
595,$AVGO great growth stk &  also raised dividend . clearly a great investment http://stks.co/r2F3h,Dividend Policy
596,"$RXII Tang really is toxic, they keep bringing the share price down. At least they could let it climb a little before dragging it down.",Price Action
597,$AAPL near a 3% drop thats a lot... now the best i can do is HOLD ER lol,Price Action
598,$HCP Come to the party and buy this -gonna give solid gains and a dividend $$$$$$,Dividend Policy
599,"$ONTY Continues to base as debate lingers. ONT-10 data next potential catalyst. If positive, stock quickly moves to $10. Downside limited.",Price Action
600,$SPY Looks like bear traps getting laid faster than Cadbury Creme Eggs by the Easter Bunny,Price Action
601,$BBRY Sierra. Has a great cash balance and impressive growth rate.Would be a wonderful marriage!,Financial
602,$IWM same conditions that sent markets to tumble all hitting this week,Conditions
603,$CRK time to accumulate for a long position with far more upside than downside,Price Action
604,$BWLD bearish engulfing candle,Technical Analysis
605,for @vnoto74 to follow:  after a SELL signal by $NDX internals [06/23] ~> technical SELL $QQQ [06/25] ~> DOWN,Signal
606,$AWR Standard & Poor's Affirms 'A+' Credit Rating at American States Water Company and Golden State Water Company http://stks.co/f2P94,Coverage
607,"Tesco set to sell Kipa, Giraffe businesses - Sky News",Signal
608,$FREE Ha Heeeeeere comes the pump! So glad I picked up 9K end of day! Get ready for the bull ride!,Price Action
609,$NUAN held up well after the big gains! Maybe we're finally on the move on this!!its still very undervalued and has major upside,Price Action
610,Why $MCD looks set to fall further. http://stks.co/f2fgj,Price Action
611,@technik I still have a smaller $GILD pos. Being very tender with cash due to volatility. So reluctant to keep many big positions.,Volatility
612,$FB bot some @78.47 breakout from the consolidation zone :D,Price Action
613,$XLI Potential intermediate top in an Uptrend on a 60'-15'-4' charts http://stks.co/j1TdF,Price Action
614,$TWTR sad the only thing to move this is a takeover rumor only to be sold off next day !,Rumors
615,"$VRTX Vertex. Monthly -lower hi/lower lo,  Long term uptrend intract so far",Price Action
616,Relief for Lewis as Tesco sees sales grow for first time in a year,Sales
617,$GEVO PLUNGING!  Back to $3.55.,Price Action
618,energy still failing to close above the 10D MA.  continues to stand out weak $XLE,Technical Analysis
619,$ENB.CA {Head&Shoulders} bullish reversal setup and breakout. Oil and Gas Pipleline stock. $USO,Technical Analysis
620,The Coca-Cola Company and Coca-Cola FEMSA to Acquire AdeS Soy-Based Beverage Business From Unilever,M&A
621,"$IMRS - it's important to be pragmatic in analysis...high prices could offer head-winds....bullish story intact,evenif the market rolls over",Price Action
622,Micron Shares Pounded On Fears Of Loss Of Business From Apple; Stifel Defends $AAPL $MU http://stks.co/t1Z8T @Marjo,Sales
623,"$CHKP ABC Bullish Pattern, Targets https://t.co/uVMmRSR5Zy",Technical Analysis
624,$TSLA is now up 57% from its February low. Amazing rebound.,Price Action
625,$SBUX downgraded to neutral at Deutsche Bank. Price target reduced to $64 from $70.,Coverage
626,"Micron Technology Inc #NASDAQ: $MU down 2.3% today and down 8.9% since being put on ""The Short"" https://t.co/EQQLTfUiOU",Price Action
627,$YHOO About to break out on the 5-min...,Technical Analysis
628,$GILD 91 now support. $IBB $BIB https://t.co/GIoOf6zbKv,Technical Analysis
629,HSBC Says Unit to Book $585 Million Charge on Settlement,Legal
630,$FB down 7.5% from this #bearish pattern.  Considering the #bullish sentiment - That's an impressive bearish move https://t.co/TaJF0cH2qh,Price Action
631,"Hammerson, JV Partner secure ownership of Ireland's Dundrum - Quick Facts",M&A
632,$SAVE long. https://t.co/yEJuS9cMlC,Price Action
633,@mugatushair Now it is time to short $TSLA,Price Action
634,$COST Costco less than stellar day but it held the 50 day moving average,Technical Analysis
635,"$AGN and $PYPL under pressure along with the market, however there were bullish options trades in both this morning https://t.co/9xG5W8nONT",Price Action
636,Costco: A Premier Retail Dividend Play https://t.co/Fa5cnh2t0t $COST,Dividend Policy
637,$INTC finally some nice downside move... looking for the 31 handle to break,Price Action
638,"$YHOO fishy action. New party interested (DailyMail) bounce & retreats. Not short by any means, but action questions big up move. Thoughts?",Price Action
639,"Sheryl Sandberg Sells 109,000 Shares of Facebook Inc $FB Stock https://t.co/3vXT7AMnpk via @RatingsNetwork",Insider Activity
640,Amazon has been selling surveillance cameras infected with malware $AMZN #Amazon  https://t.co/TohLEQ8FK6 https://t.co/5PR4cBtVVy,Risks
641,"$TSLA 5th wave down on the 1 hour chart, hammer candle developing, close to 200 sma, might be a good spot for calls",Price Action
642,Baird Upgrades Tesla Motors $TSLA to Outperform https://t.co/1FA6aTOqlw,Coverage
643,$ilmn piper Jeffries raises pt.  I remain long,Coverage
644,Aviva promises higher dividends to boost flagging share price,Dividend Policy
645,"@HopeTurock yes, the expectations of a deal are somewhat priced in but we could see a nice pop if bids come in higher than expected... $YHOO",Price Action
646,I don't see it. 200 day sma is the big hurdle. There is a good base building. $NFLX  https://t.co/ImKYGO2cyc,Technical Analysis
647,Daily Mail parent company in talks with potential partners about joint bid for Yahoo's internet assets: https://t.co/mK7MEMtADT $YHOO,M&A
648,CompaniesFresnillo shares jump 8% as silver price breaks $21,Price Action
649,expecting  $SPY to close above 205.20 $AAPL,Price Action
650,"$FB trending nicely, intraday.",Price Action
651,Starbucks' Digital Strategy To Drive Significant Growth With Customer Loyalty $SBUX https://t.co/Xk6lZ3UI3K,Strategy
652,"Should you buy Associated British Foods plc, Great Portland Estates plc and Dunelm Group plc following today's news?",Rumors
653,"$QCOM chart: Qualcomm Short 61.8% Retracement, Trendline and Resistance. https://t.co/2WQqh35KOY",Technical Analysis
654,Berkshire seeks to boost its Wells Fargo stake above 10 percent,Signal
655,"$INTU is in the process of streamlining its structure, especially through divestment of non-core businesses   https://t.co/dR5baNun2u",Strategy
656,"$TSLA steaming up again, this stock is relentless at the moment",Price Action
657,.@barronsonline sees #Apple at $150/share in a year (+36% from today) on growing services business. $AAPL https://t.co/3BDNEKN7l1,Coverage
658,Adobe Receives New Rating from Top Analyst $ADBE https://t.co/LJNXPEvHZN,Coverage
659,Activision Blizzard Media Networks Announces Record #Esports Viewership https://t.co/729BiqLbtK $ATVI partnered with $HDSI for 9 #tournament,Sales
660,Tesco share price tumbles after negative broker note,Price Action
661,London Stock Exchange Shareholders Approve Merger With Deutsche BÃ¶rse,M&A
662,"Also, BMO had just initiated $incy with an outperform yesterday, while several other firms all reiterated buy ratings.",Coverage
663,@REC_Zakaria Monday Bulls Are Out! Stock Ticker- Michael James Ent. Other picks $SBUX $GVP $NKE,Price Action
664,UPDATE 1-Berkshire applies to boost Wells Fargo stake above 10 pct,Signal
665,#Tesla: Model X Recall Adds To Reliability Issues $TSLA https://t.co/jVXQ4DoXnP,Risks
666,Microsoft joins the open-source Eclipse Foundation https://t.co/z8G5cZaKeU focus on collaboration & open business is a smart strategy! $MSFT,Strategy
667,"Sudden optimism about iPhone sales (i.e., not as bad as expected) gives Apple $AAPL a lift.  https://t.co/oKTCw4YiB5",Sales
668,$NFLX +1% $104.80 LONG streaming services rapidly outpacing traditional cable,Price Action
669,Infection worries prompt regulatory reviews of Gilead leukaemia drug $GILD https://t.co/H9vqXpZ15G via @YahooFinance,Regulatory
670,Preparing for a Breakout Trade in Netflix $NFLX  https://t.co/CzHIX3tuAG $$ https://t.co/z1qb9xa4LD,Technical Analysis
671,"$CTRP just broke resistance, watching for a #redtogreen #breakout right out of the gate tomorrow morning. #stocks https://t.co/8VXFUUIt04",Technical Analysis
672,Deutsche Bank cuts $SBUX,Coverage
673,"Fastenal misses by $0.01, misses on revenue $FAST #NYSE https://t.co/63JHQ7pwMN",Financial
